Year,Month,Day,Location,Province
2016,9,16,Iqaluit,NU
2017,12,3,Yellowknife,NT
2017,4,2,Victoria,BC
2017,4,2,Tilsonburg,ON
2017,3,21,Woodstock,ON
2017,2,8,Lloydminster,AB
2017,3,11,Yarmouth,NS
2017,3,11,Ottawa,ON
2017,2,25,Winnipeg,MB
2017,2,22,Bowen Island,BC
2017,2,25,Watson Lake,YK
2017,3,9,Prince Albert,SK
2017,1,7,Conception Bay,NF
2017,9,24,Montreal,PQ
2017,9,30,Saint-Jean-Baptiste-de-Rouville,PQ
2017,12,4,Riviere-Pigou,PQ
2017,12,7,Danville,PQ
2017,12,17,Laval,PQ
2017,8,21,Wetaskiwin,AB
2017,3,17,Abbortsford,BC
2017,7,26,Halifax,NS
2017,7,20,Lower Montague,PI
2017,4,13,Winnipeg,MB
2017,10,23,St. John's,NF
2017,12,5,Red Deer,AB
2017,4,20,Meadow Lake,SK
2017,5,26,Ste. Adolphe,MB
2017,6,27,Whitson Lake,ON
2017,6,27,Aylmer,PQ
